7.2,96.9,31.7,2.5,0.9,1
10.5,98.8,34.4,0.7,1.1,1
11.1,111.7,36.6,1.3,1.0,1
8.5,94.0,32.2,0.7,1.0,1
12.6,92.6,31.6,1.6,0.7,2
15.6,105.7,35.0,1.3,1.0,2
18.8,116.7,38.4,1.4,1.4,2
8.8,90.2,29.9,1.3,1.1,2
13.5,94.0,32.4,0.8,1.0,2
12.2,104.5,35.5,12.5,1.1,2
11.4,104.4,36.0,0.7,0.9,3
7.5,100.8,33.5,2.1,0.8,3
9.7,91.3,31.8,3.7,1.1,3
11.8,104.6,34.4,2.6,1.1,3
27.3,116.5,39.3,1.6,1.2,3
10.9,101.8,35.0,1.7,1.3,3
13.0,90.9,31.1,2.1,0.9,3
20.5,105.3,35.6,6.9,1.0,3
10.2,91.2,30.5,1.2,1.1,4
13.5,93.8,30.2,1.3,1.2,4
10.4,94.6,32.2,0.8,0.8,4
17.2,94.6,33.0,1.2,1.2,4
9.9,94.8,33.0,0.4,0.8,4
